ID_Produk,Nama_Indo,Nama_Eng,Kategori,Harga_Rp,Berat_Gram,Foto_URL,Status,Deskripsi_Indo,Deskripsi_Eng,Nomor_WA
"P001","Buah Naga Merah Pak Tarno","Red Dragon Fruit by Pak Tarno","Fresh","15000","1000","/assets/images/dragon_fruit_1780579681534.png","Ready","Buah naga merah segar langsung dipetik dari kebun organik Pak Tarno di sisi timur Desa Sukorejo. Ditanam tanpa pestisida kimia, memiliki rasa manis alami dengan tingkat brix di atas rata-rata. Daging buahnya sangat tebal dan kaya akan antioksidan, cocok untuk dikonsumsi langsung atau dijadikan jus sehat.","Fresh red dragon fruit picked directly from Pak Tarno's organic farm in the eastern part of Sukorejo Village. Grown without chemical pesticides, it has a naturally sweet taste with above-average brix levels. The flesh is very thick and rich in antioxidants, perfect for direct consumption or healthy juice.","6281234567890"
"P002","Buah Naga Merah Mbak Tutik","Red Dragon Fruit by Mbak Tutik","Fresh","16000","1000","https://images.unsplash.com/photo-1527325678964-54921661f888?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80","Unggulan","Hasil panen pilihan dari kebun Mbak Tutik yang terkenal dengan ukurannya yang besar (jumbo). Setiap buah disortir dengan ketat untuk memastikan tidak ada cacat. Warna merah pekatnya menandakan kandungan vitamin C dan zat besi yang sangat tinggi, sangat baik untuk kesehatan darah dan kulit.","Selected harvest from Mbak Tutik's farm, famous for its jumbo size. Each fruit is strictly sorted to ensure no defects. Its deep red color indicates a very high content of vitamin C and iron, excellent for blood and skin health.","6281234567891"
"P003","Bibit Buah Naga Unggulan Pak Jo","Superior Dragon Fruit Seedling by Pak Jo","Craft","50000","1500","/assets/images/dragon_fruit_seedling_1780579696787.png","Ekspor","Bibit stek buah naga jenis Hylocereus polyrhizus (merah) yang telah melewati masa karantina dan rooting sempurna. Dikembangkan oleh Pak Jo, petani senior Desa Sukorejo. Bibit ini dijamin bebas virus dan jamur, tingkat persentase hidup 99%, dan siap berbuah pada usia tanam 8-10 bulan jika dirawat dengan baik.","Hylocereus polyrhizus (red) dragon fruit cuttings that have passed quarantine and perfect rooting. Developed by Pak Jo, a senior farmer. Guaranteed virus and fungus free, 99% survival rate, and ready to bear fruit at 8-10 months of age if well maintained.","6281234567892"
"P004","Buah Naga Putih Bu Tejo","White Dragon Fruit by Bu Tejo","Fresh","18000","1000","https://images.unsplash.com/photo-1605807646983-377bc5a76493?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80","Ready","Varian buah naga putih segar dari kebun Bu Tejo. Meski dagingnya berwarna putih transparan dengan biji hitam renyah, rasanya sangat menyegarkan dan tidak terlalu manis (low glycemic). Sangat direkomendasikan bagi penderita diabetes atau mereka yang sedang menjalani program diet rendah gula.","Fresh white dragon fruit variant from Bu Tejo's farm. Although the flesh is transparent white with crunchy black seeds, the taste is very refreshing and not too sweet (low glycemic). Highly recommended for diabetics or those on a low-sugar diet program.","6281234567893"
"P005","Selai Buah Naga Mbak Minah","Dragon Fruit Jam by Mbak Minah","Processed","25000","250","/assets/images/dragon_fruit_jam_1780579726270.png","Unggulan","Selai home-made buatan Mbak Minah yang terbuat dari 100% buah naga merah asli Sukorejo dan gula tebu murni, tanpa tambahan pektin sintetis maupun pengawet. Dimasak perlahan (slow-cooked) untuk mempertahankan aroma khas buah naga. Cocok dioleskan pada roti gandum atau sebagai topping yogurt.","Home-made jam by Mbak Minah made from 100% authentic Sukorejo red dragon fruit and pure cane sugar, without synthetic pectin or preservatives. Slow-cooked to retain the signature aroma. Perfect spread on whole wheat bread or as a yogurt topping.","6281234567894"
"P006","Keripik Buah Naga Renyah Kang Maman","Crispy Dragon Fruit Chips by Kang Maman","Processed","35000","150","/assets/images/dragon_fruit_chips_1780579741290.png","Ready","Camilan sehat masa kini! Keripik buah naga Kang Maman diproses menggunakan mesin vacuum frying bersuhu rendah. Proses ini menghilangkan kadar air tanpa merusak nutrisi dan warna alaminya. Hasilnya adalah keripik yang super renyah, manis alami, dan bebas kolesterol. Kemasan ziplock menjaga kerenyahan.","Today's healthy snack! Kang Maman's dragon fruit chips are processed using a low-temperature vacuum frying machine. This removes moisture without destroying natural nutrients and color. The result is super crispy, naturally sweet, cholesterol-free chips. Ziplock packaging maintains crispness.","6281234567895"
"P007","Sirup Buah Naga Segar Mbah Darmo","Fresh Dragon Fruit Syrup by Mbah Darmo","Processed","40000","500","/assets/images/dragon_fruit_juice_1780579713413.png","Ready","Sirup kental ekstrak buah naga resep warisan Mbah Darmo. Diekstrak menggunakan metode cold-press untuk menjaga kesegaran vitamin C. Cukup campurkan 3 sendok makan sirup dengan air es dan perasan jeruk nipis untuk minuman pelepas dahaga yang menyehatkan di siang hari yang terik.","Thick dragon fruit extract syrup from Mbah Darmo's heritage recipe. Extracted using cold-press method to maintain vitamin C freshness. Just mix 3 tablespoons of syrup with ice water and lime juice for a healthy thirst-quenching drink on a hot day.","6281234567896"
"P008","Buah Naga Merah Super Pak Slamet","Super Red Dragon Fruit by Pak Slamet","Fresh","17500","1000","https://images.unsplash.com/photo-1527325678964-54921661f888?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80","Ekspor","Grade A premium dari kebun Pak Slamet. Buah naga ini dikhususkan untuk pasar ekspor karena ukurannya yang merata (1 buah mencapai 600-800 gram), sisiknya yang utuh hijau segar, dan bebas hama kutu putih. Rasa dijamin konsisten manis dan daging buah padat tidak berair.","Premium Grade A from Pak Slamet's farm. Dedicated for export market due to uniform size (600-800g per fruit), fresh green intact scales, and mealybug-free. Guaranteed consistent sweet taste and dense, non-watery flesh.","6281234567897"
"P009","Dodol Buah Naga Asli Sukorejo","Authentic Sukorejo Dragon Fruit Dodol","Processed","30000","400","https://images.unsplash.com/photo-1558961363-fa8fdf82db35?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80","Ready","Jajanan tradisional nusantara dengan sentuhan modern! Dodol yang diadon dengan santan kelapa asli, tepung ketan, dan sari buah naga merah murni yang memberikan warna merah keunguan alami tanpa pewarna buatan. Teksturnya kenyal, legit, dan tidak lengket di gigi. Sangat cocok untuk oleh-oleh.","Traditional archipelago snack with a modern twist! Dodol mixed with real coconut milk, glutinous rice flour, and pure red dragon fruit juice giving natural purplish-red color without artificial dyes. Chewy, sweet, and doesn't stick to teeth. Perfect for souvenirs.","6281234567898"
"P010","Bibit Buah Naga Kuning Premium","Premium Yellow Dragon Fruit Seedling","Craft","75000","1500","https://images.unsplash.com/photo-1596431940177-3e11f71df420?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80","Habis","Varian langka! Bibit buah naga kulit kuning (Selenicereus megalanthus) dengan daging buah berwarna putih transparan. Diketahui memiliki rasa paling manis (brix tertinggi) dibandingkan varian naga lainnya. Bibit ini adalah hasil kultur jaringan, menjamin produktivitas buah lebat.","Rare variant! Yellow-skinned dragon fruit seedling (Selenicereus megalanthus) with transparent white flesh. Known to have the sweetest taste (highest brix) compared to other dragon variants. Tissue culture seedlings, guaranteeing heavy fruit productivity.","6281234567899"
"P011","Teh Kulit Buah Naga Bu Sri","Dragon Fruit Peel Tea by Bu Sri","Processed","20000","100","https://images.unsplash.com/photo-1558961363-fa8fdf82db35?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80","Ready","Inovasi zero waste dari Bu Sri. Kulit buah naga merah dikeringkan secara higienis menggunakan dehidrator untuk dijadikan teh seduh herbal. Kaya akan antosianin dan senyawa bioaktif yang berkhasiat melenturkan pembuluh darah dan menurunkan tekanan darah tinggi. Rasa tawar dengan aroma floral yang menenangkan.","Zero waste innovation from Bu Sri. Red dragon fruit peels are hygienically dried using dehydrator to make herbal brewed tea. Rich in anthocyanins and bioactive compounds beneficial for blood vessel elasticity and lowering high blood pressure. Plain taste with soothing floral aroma.","6281234567890"
